PlayerID,SignupDate,Country,Platform
1,2023-11-03,CA,iOS
2,2023-03-04,KR,PC
3,2023-07-22,BR,Android
4,2023-08-25,CA,iOS
5,2023-07-25,UK,iOS
6,2023-08-05,BR,PC
7,2023-03-30,BR,PC
8,2023-11-20,CA,PC
9,2023-08-20,IN,PC
10,2023-11-19,UK,PC
11,2023-05-21,CA,PC
12,2023-10-21,UK,Android
13,2023-10-23,UK,iOS
14,2023-12-31,BR,Android
15,2023-07-03,KR,Android
16,2023-12-28,UK,PC
17,2023-10-23,DE,iOS
18,2023-05-29,BR,Android
19,2023-03-20,IN,PC
20,2023-02-21,KR,PC
21,2023-11-03,DE,iOS
22,2023-10-30,DE,Android
23,2023-02-27,IN,Android
24,2023-12-04,KR,Android
25,2023-02-14,BR,PC
26,2023-06-26,US,iOS
27,2023-10-01,KR,iOS
28,2023-05-11,IN,Android
29,2023-06-10,DE,PC
30,2023-07-07,BR,Android
31,2023-01-24,KR,iOS
32,2023-07-03,US,PC
33,2023-06-08,US,Android
34,2023-07-30,UK,Android
35,2023-01-12,UK,PC
36,2023-11-16,CA,iOS
37,2023-04-08,IN,PC
38,2023-06-04,KR,Android
39,2023-08-31,KR,Android
40,2023-11-19,CA,Android
41,2023-04-22,DE,Android
42,2023-12-24,DE,iOS
43,2023-09-10,CA,iOS
44,2023-09-24,DE,Android
45,2023-10-08,UK,iOS
46,2023-12-11,KR,iOS
47,2023-07-30,CA,iOS
48,2023-10-14,KR,Android
49,2023-04-10,US,PC
50,2023-06-08,UK,PC
51,2023-07-30,BR,PC
52,2023-06-15,UK,Android
53,2023-03-04,CA,iOS
54,2023-04-17,BR,iOS
55,2023-01-28,US,Android
56,2023-10-17,CA,Android
57,2023-01-29,IN,PC
58,2023-08-31,KR,PC
59,2023-12-24,US,Android
60,2023-03-11,KR,PC
61,2023-07-13,DE,iOS
62,2023-12-03,IN,Android
63,2023-01-11,IN,Android
64,2023-06-30,US,iOS
65,2023-11-11,IN,iOS
66,2023-04-17,BR,iOS
67,2023-10-21,IN,PC
68,2023-07-13,KR,Android
69,2023-05-27,KR,PC
70,2023-04-22,CA,iOS
71,2023-06-02,KR,PC
72,2023-04-08,CA,iOS
73,2023-07-27,KR,PC
74,2023-07-01,BR,PC
75,2023-11-27,CA,iOS
76,2023-09-09,UK,PC
77,2023-09-19,DE,Android
78,2023-07-01,US,PC
79,2023-11-19,KR,PC
80,2023-09-14,IN,Android
81,2023-03-02,KR,iOS
82,2023-01-16,IN,Android
83,2023-10-30,DE,PC
84,2023-10-09,DE,iOS
85,2023-02-16,DE,PC
86,2023-09-14,IN,PC
87,2023-01-04,KR,Android
88,2023-01-02,DE,Android
89,2023-06-20,BR,iOS
90,2023-12-16,CA,iOS
91,2023-09-21,IN,iOS
92,2023-07-02,IN,PC
93,2023-04-08,KR,Android
94,2023-06-15,IN,Android
95,2023-03-10,IN,Android
96,2023-08-11,DE,iOS
97,2023-12-03,KR,Android
98,2023-03-22,DE,Android
99,2023-09-08,CA,Android
100,2023-09-01,CA,iOS
101,2023-10-19,DE,Android
102,2023-04-30,CA,iOS
103,2023-02-07,KR,Android
104,2023-12-24,US,Android
105,2023-11-04,DE,Android
106,2023-10-01,BR,iOS
107,2023-10-01,BR,iOS
108,2023-01-16,IN,Android
109,2023-04-27,CA,PC
110,2023-09-08,BR,iOS
111,2023-06-28,IN,iOS
112,2023-01-01,US,Android
113,2023-03-23,KR,PC
114,2023-06-26,KR,Android
115,2023-01-22,KR,iOS
116,2023-03-21,BR,iOS
117,2023-08-27,US,Android
118,2023-12-29,BR,Android
119,2023-06-06,CA,PC
120,2023-02-18,BR,PC
121,2023-03-31,US,iOS
122,2023-12-20,US,PC
123,2023-07-15,CA,PC
