PlayerID,PurchaseAmount,PurchaseDate
2150,19.99,2023-05-26
7907,0.99,2023-10-04
5493,0.99,2023-03-10
9383,9.99,2023-01-14
8557,19.99,2023-04-20
9122,9.99,2023-11-09
6620,4.99,2023-10-16
3133,4.99,2023-05-12
183,19.99,2023-12-14
7485,49.99,2023-08-11
141,19.99,2023-03-23
7122,4.99,2023-02-07
1074,0.99,2023-11-10
4758,1.99,2023-08-12
6944,0.99,2023-08-17
8535,49.99,2023-10-30
5770,9.99,2023-01-15
1516,4.99,2023-01-16
3840,4.99,2023-04-23
1936,19.99,2023-12-16
3786,49.99,2023-12-21
3872,0.99,2023-02-16
9056,4.99,2023-11-30
1353,0.99,2023-09-08
5117,9.99,2023-07-23
3318,9.99,2023-09-26
596,49.99,2023-11-18
1831,19.99,2023-02-25
3039,19.99,2023-06-14
7347,4.99,2023-04-23
4549,4.99,2023-05-16
249,1.99,2023-12-25
9029,4.99,2023-04-12
341,9.99,2023-11-14
6258,49.99,2023-11-04
3782,1.99,2023-12-25
9781,4.99,2023-12-11
2047,9.99,2023-09-27
3681,4.99,2023-02-21
1271,49.99,2023-10-12
7899,0.99,2023-02-28
5543,1.99,2023-04-17
1947,19.99,2023-11-13
7461,9.99,2023-03-29
8328,9.99,2023-10-31
661,1.99,2023-02-17
6907,49.99,2023-09-10
1744,49.99,2023-06-30
9184,9.99,2023-10-10
3864,19.99,2023-09-09
7268,1.99,2023-02-21
8831,4.99,2023-08-07
4400,19.99,2023-08-17
4601,4.99,2023-02-03
8623,0.99,2023-12-30
3350,0.99,2023-04-23
8627,49.99,2023-09-19
5588,19.99,2023-10-17
4189,49.99,2023-05-16
6753,1.99,2023-09-04
5495,19.99,2023-07-19
1065,49.99,2023-10-27
182,4.99,2023-08-17
7127,49.99,2023-04-23
741,1.99,2023-03-15
6999,49.99,2023-07-20
1415,19.99,2023-03-03
4876,49.99,2023-01-16
8683,1.99,2023-10-27
3095,1.99,2023-09-17
4298,4.99,2023-07-27
5700,1.99,2023-06-14
9407,9.99,2023-06-09
959,4.99,2023-06-04
7608,49.99,2023-08-19
3030,19.99,2023-04-30
671,9.99,2023-02-23
2711,9.99,2023-11-22
14,9.99,2023-06-13
5842,1.99,2023-08-30
1541,19.99,2023-09-13
972,49.99,2023-03-13
1937,19.99,2023-11-07
8828,0.99,2023-08-02
33,19.99,2023-02-14
9670,1.99,2023-01-04
7997,0.99,2023-03-31
8159,4.99,2023-01-10
2410,4.99,2023-08-14
4310,1.99,2023-08-07
4808,4.99,2023-07-03
3169,4.99,2023-09-22
3782,0.99,2023-04-21
453,0.99,2023-01-21
9698,9.99,2023-05-06
6901,9.99,2023-09-29
6929,4.99,2023-04-09
6537,1.99,2023-04-01
4522,9.99,2023-04-21
1343,9.99,2023-10-22
2339,0.99,2023-04-27
7420,19.99,2023-08-18
5370,49.99,2023-04-16
541,1.99,2023-09-22
2845,1.99,2023-02-26
9647,0.99,2023-04-02
5868,1.99,2023-12-06
6107,49.99,2023-10-27
8913,19.99,2023-12-14
7867,0.99,2023-11-11
1713,19.99,2023-08-28
4562,49.99,2023-12-03
169,0.99,2023-05-10
3309,0.99,2023-05-16
1929,1.99,2023-09-16
5144,4.99,2023-08-16
861,9.99,2023-06-13
7830,1.99,2023-01-12
2301,9.99,2023-02-05
632,1.99,2023-01-06
8790,0.99,2023-01-21
6144,9.99,2023-04-06
1647,49.99,2023-08-23
6915,49.99,2023-05-19
6521,1.99,2023-08-07
5042,4.99,2023-06-27
8091,4.99,2023-06-05
3733,9.99,2023-03-26
7645,49.99,2023-05-02
1458,49.99,2023-03-05
186,9.99,2023-03-31
3681,19.99,2023-08-04
1716,0.99,2023-04-18
4093,0.99,2023-04-06
1709,49.99,2023-05-15
2180,19.99,2023-08-23
2612,4.99,2023-04-22
8887,0.99,2023-08-31
7388,9.99,2023-02-24
6292,49.99,2023-04-22
3808,0.99,2023-08-24
8717,4.99,2023-07-31
3305,4.99,2023-08-08
7777,0.99,2023-07-27
2038,19.99,2023-12-06
4380,0.99,2023-02-25
8743,1.99,2023-06-27
8105,0.99,2023-10-07
2460,4.99,2023-05-16
2483,1.99,2023-12-31
8250,0.99,2023-05-29
1941,4.99,2023-07-12
9467,49.99,2023-04-27
9126,1.99,2023-06-28
9343,0.99,2023-07-09
7899,9.99,2023-03-23
7440,19.99,2023-11-06
9239,4.99,2023-04-02
3271,4.99,2023-07-14
5405,9.99,2023-06-02
6274,0.99,2023-12-14
3655,1.99,2023-06-22
8152,0.99,2023-05-25
4629,49.99,2023-08-17
696,0.99,2023-06-06
3577,0.99,2023-06-24
7817,9.99,2023-06-22
3258,19.99,2023-12-26
7181,49.99,2023-10-02
8839,4.99,2023-09-22
8012,9.99,2023-12-26
87,9.99,2023-09-07
8536,49.99,2023-07-05
4932,0.99,2023-05-24
7031,49.99,2023-09-21
8223,19.99,2023-03-09
4075,9.99,2023-04-29
5207,49.99,2023-04-14
6426,4.99,2023-01-08
6789,0.99,2023-01-14
7051,4.99,2023-10-03
6794,49.99,2023-01-29
4701,9.99,2023-06-16
6314,49.99,2023-12-17
5180,49.99,2023-02-27
5670,4.99,2023-04-14
1299,1.99,2023-08-01
1566,9.99,2023-03-19
305,49.99,2023-08-30
2774,19.99,2023-08-04
5520,0.99,2023-06-06
2520,4.99,2023-04-26
